Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
74%;889;64%;R&B;42%;SZA;86;R&B Hits;Kill Bill;08/12/22;1;8;3;5%;Modern
61%;810;68%;R&B;50%;Miguel;85;R&B Hits;Sure Thing;26/11/10;0;11;3;3%;Modern
36%;752;52%;R&B;44%;Daniel Caesar, H.E.R.;84;R&B Hits;Best Part (feat. H.E.R.);25/08/17;1;7;3;81%;Modern
28%;997;36%;R&B;28%;SZA;84;R&B Hits;Nobody Gets Me;09/12/22;1;7;3;81%;Modern
44%;118;61%;R&B;17%;Alicia Keys;81;R&B Hits;If I Ain't Got You;02/12/03;1;7;4;60%;Modern
31%;929;81%;R&B;70%;Brent Faiyaz;80;R&B Hits;Best Time;27/10/23;1;9;14;16%;Modern
68%;112;69%;R&B;41%;SZA;80;R&B Hits;Broken Clocks;09/06/17;1;6;4;13%;Modern
59%;782;43%;R&B;24%;SZA, Travis Scott;80;R&B Hits;Open Arms (feat. Travis Scott);08/12/22;1;9;4;75%;Modern
24%;113;37%;R&B;13%;Miguel;79;R&B Hits;Girl With The Tattoo Enter.lewd;26/11/10;0;6;2;86%;Modern
51%;864;66%;R&B;68%;USHER, Alicia Keys;79;R&B Hits;My Boo;23/03/04;1;5;4;26%;Modern
39%;117;69%;R&B;38%;Brent Faiyaz;78;R&B Hits;Poison;03/08/16;0;2;4;71%;Modern
34%;652;58%;R&B;58%;Brent Faiyaz;78;R&B Hits;Clouded;07/02/20;1;2;2;77%;Modern
55%;928;91%;R&B;97%;Mary J. Blige;78;R&B Hits;Family Affair;28/08/01;0;8;4;13%;Modern
57%;927;45%;R&B;58%;Ne-Yo;78;R&B Hits;So Sick;01/01/06;1;6;3;25%;Modern
50%;137;65%;R&B;79%;Brent Faiyaz;77;R&B Hits;Forever Yours;27/10/23;1;2;16;0%;Modern
68%;171;67%;R&B;71%;Ne-Yo;77;R&B Hits;Miss Independent;01/01/08;1;1;4;52%;Modern
55%;168;73%;R&B;61%;Nelly, Kelly Rowland;77;R&B Hits;Dilemma;25/06/02;0;2;5;23%;Modern
72%;169;62%;R&B;77%;Paperboy Fabe, Brent Faiyaz;77;R&B Hits;Language;12/05/17;0;4;3;4%;Modern
59%;135;80%;R&B;41%;SZA, Travis Scott;77;R&B Hits;Love Galore (feat. Travis Scott);09/06/17;1;0;5;11%;Modern
61%;959;65%;R&B;48%;Alicia Keys;76;R&B Hits;Fallin';05/06/01;0;11;4;26%;Modern
55%;900;64%;R&B;15%;Alicia Keys;76;R&B Hits;No One;09/10/07;0;1;4;3%;Modern
38%;141;62%;R&B;22%;Brent Faiyaz;76;R&B Hits;ALL MINE;08/07/22;1;9;4;43%;Modern
61%;125;74%;R&B;72%;Jhenie Aiko, Swae Lee;76;R&B Hits;Sativa;22/09/17;0;6;5;32%;Modern
70%;959;59%;R&B;35%;USHER;76;R&B Hits;Hey Daddy (Daddy's Home);30/03/10;1;11;4;0%;Modern
50%;132;60%;R&B;40%;Brent Faiyaz;75;R&B Hits;Been Away;07/02/20;1;8;4;48%;Modern
39%;920;76%;R&B;47%;Brent Faiyaz;75;R&B Hits;Trust;19/10/18;1;8;3;23%;Modern
50%;135;86%;R&B;89%;Brent Faiyaz, FELIX!, Tommy Richman;75;R&B Hits;Upset (feat. Tommy Richman & FELIX!);27/10/23;1;11;3;49%;Modern
35%;102;45%;R&B;41%;H.E.R., Bryson Tiller;75;R&B Hits;Could've Been (feat. Bryson Tiller);30/08/19;0;1;4;65%;Modern
49%;828;35%;R&B;31%;Jhenie Aiko, Kendrick Lamar;75;R&B Hits;Stay Ready (What A Life);01/01/13;0;8;6;46%;Modern
59%;945;69%;R&B;62%;Mario;75;R&B Hits;Let Me Love You;15/03/04;0;7;4;18%;Modern
69%;860;66%;R&B;66%;Chris Brown;74;R&B Hits;With You;06/11/07;1;3;4;13%;Modern
54%;109;81%;R&B;83%;Ne-Yo;74;R&B Hits;Because Of You;01/01/07;0;0;4;53%;Modern
43%;129;72%;R&B;47%;Summer Walker;74;R&B Hits;Heart Of A Woman;25/10/24;0;9;3;48%;Modern
71%;140;57%;R&B;35%;USHER, Jeezy;74;R&B Hits;Love in This Club (feat. Young Jeezy);27/05/08;1;0;4;6%;Modern
71%;931;70%;R&B;76%;Brandy, Monica;73;R&B Hits;The Boy Is Mine;29/05/98;0;1;5;54%;Modern
73%;146;61%;R&B;29%;Kehlani, Ty Dolla $ign;73;R&B Hits;Nights Like This (feat. Ty Dolla $ign);22/02/19;1;8;3;37%;Modern
88%;130;41%;R&B;71%;Lloyd, Lil Wayne;73;R&B Hits;You;01/01/07;0;5;5;10%;Modern
37%;733;40%;R&B;16%;SZA;73;R&B Hits;The Weekend;09/06/17;0;8;5;24%;Modern
70%;901;67%;R&B;71%;Ashanti;72;R&B Hits;Foolish;01/01/02;1;0;4;35%;Modern
71%;966;84%;R&B;84%;Ja Rule, Ashanti;72;R&B Hits;Always On Time;02/10/01;0;5;4;20%;Modern
62%;133;71%;R&B;52%;Summer Walker, SZA;72;R&B Hits;No Love (with SZA);05/11/21;0;1;4;17%;Modern
24%;144;55%;R&B;29%;Brent Faiyaz;71;R&B Hits;Rehab (Winter In Paris);07/02/20;1;5;3;81%;Modern
61%;867;54%;R&B;57%;Chris Brown;71;R&B Hits;Yo (Excuse Me Miss);27/06/05;1;4;4;12%;Modern
48%;119;80%;R&B;69%;USHER;70;R&B Hits;Burn;23/03/04;1;1;4;31%;Modern
63%;939;66%;R&B;73%;USHER;69;R&B Hits;U Remind Me;07/08/01;1;6;4;19%;Modern
50%;124;82%;R&B;65%;USHER;69;R&B Hits;U Got It Bad;07/08/01;1;1;4;2%;Modern
58%;179;63%;R&B;24%;Miguel;68;R&B Hits;Adorn;04/07/05;0;11;3;5%;Modern
47%;138;85%;R&B;70%;USHER;68;R&B Hits;Confessions Part II;23/03/04;1;1;4;6%;Modern
72%;103;92%;Reggae;76%;Bob Marley & The Wailers;79;Reggae Classics;Could You Be Loved;10/06/80;1;0;4;36%;Classic
46%;124;93%;Reggae;76%;Bob Marley & The Wailers;70;Reggae Classics;Buffalo Soldier;23/05/83;1;9;4;14%;Classic
73%;951;88%;Reggae;95%;Chaka Demus & Pliers;68;Reggae Classics;Murder She Wrote;01/01/93;0;11;4;16%;Classic
66%;767;84%;Reggae;75%;Damian Marley;68;Reggae Classics;Welcome To Jamrock;01/01/05;0;7;4;2%;Classic
66%;767;84%;Reggae;75%;Damian Marley;68;Reggae Fusion;Welcome To Jamrock;01/01/05;0;7;4;2%;Fusion
87%;184;47%;Rock;81%;Linkin Park;89;Alternative Rock;The Emptiness Machine;05/09/24;1;7;3;2%;Alternative
86%;105;56%;Rock;40%;Linkin Park;88;Alternative Rock;In the End;22/06/05;0;3;4;1%;Alternative
72%;155;32%;Rock;50%;The Goo Goo Dolls;87;Alternative Rock;Iris;20/06/05;0;11;5;0%;Alternative
43%;918;52%;Rock;10%;Radiohead;86;Rock Classics;Creep;22/02/93;1;7;4;1%;Classic
80%;112;65%;Rock;54%;Tears For Fears;85;80s Rock Anthems;Everybody Wants To Rule The World;25/02/85;1;7;4;35%;80S
91%;115;57%;Rock;42%;AC/DC;84;Rock Classics;Highway to Hell;27/07/79;0;6;3;6%;Classic
87%;140;53%;Rock;25%;Arctic Monkeys;84;Indie Rock Roadtrip;505;22/04/07;1;0;4;0%;Indie
53%;850;55%;Rock;41%;Arctic Monkeys;84;Alternative Rock;Do I Wanna Know?;09/09/13;1;5;5;19%;Alternative
70%;116;74%;Rock;77%;Creedence Clearwater Revival;84;Rock Classics;Have You Ever Seen The Rain;07/12/70;1;0;3;7%;Classic
49%;120;83%;Rock;79%;Fleetwood Mac;84;Rock Classics;Dreams - 2004 Remaster;04/02/77;1;0;4;6%;Classic
95%;125;45%;Rock;62%;Guns N' Roses;84;Rock Classics;Sweet Child O' Mine;21/07/87;1;6;6;9%;Classic
89%;133;50%;Rock;26%;AC/DC;83;Rock Classics;Thunderstruck;24/09/90;1;4;5;0%;Classic
70%;188;31%;Rock;76%;AC/DC;83;Rock Classics;Back In Black;25/07/80;1;9;4;1%;Classic
70%;188;31%;Rock;76%;AC/DC;83;80s Rock Anthems;Back In Black;25/07/80;1;9;4;1%;80S
37%;927;67%;Rock;73%;TOTO;83;Rock Classics;Africa;08/04/82;1;9;5;26%;Classic
37%;927;67%;Rock;73%;TOTO;83;80s Rock Anthems;Africa;08/04/82;1;9;5;26%;80S
94%;148;53%;Rock;50%;Bruce Springsteen;82;80s Rock Anthems;Dancing In the Dark;04/06/84;0;1;4;1%;80S
35%;845;56%;Rock;46%;Red Hot Chili Peppers;82;Rock Classics;Under the Bridge;24/09/91;1;4;4;6%;Classic
72%;889;60%;Rock;55%;Red Hot Chili Peppers;82;Alternative Rock;Scar Tissue;08/06/99;1;0;4;8%;Alternative
45%;123;74%;Rock;28%;The White Stripes;82;Rock Classics;Seven Nation Army;01/04/03;0;4;4;0%;Classic
77%;127;53%;Rock;76%;AC/DC;81;Rock Classics;You Shook Me All Night Long;25/07/80;1;7;4;0%;Classic
77%;127;53%;Rock;76%;AC/DC;81;80s Rock Anthems;You Shook Me All Night Long;25/07/80;1;7;4;0%;80S
96%;122;54%;Rock;81%;Bon Jovi;81;80s Rock Anthems;You Give Love A Bad Name;16/08/86;0;0;4;7%;80S
51%;147;58%;Rock;61%;Eagles;81;Rock Classics;Hotel California - 2013 Remaster;08/12/76;1;2;7;1%;Classic
88%;158;41%;Rock;36%;Foo Fighters;81;Rock Classics;Everlong;20/05/97;0;11;4;0%;Classic
88%;158;41%;Rock;36%;Foo Fighters;81;Alternative Rock;Everlong;20/05/97;0;11;4;0%;Alternative
94%;120;63%;Rock;29%;Linkin Park;81;Alternative Rock;What I've Done;14/05/07;1;5;3;1%;Alternative
80%;790;80%;Rock;75%;Portugal. The Man;81;Feel Good Indie Rock;Feel It Still;16/06/17;0;1;3;4%;Feel-Good
77%;964;59%;Rock;33%;Red Hot Chili Peppers;81;Rock Classics;Californication;08/06/99;0;9;5;0%;Classic
77%;964;59%;Rock;33%;Red Hot Chili Peppers;81;Alternative Rock;Californication;08/06/99;0;9;5;0%;Alternative
80%;123;46%;Rock;51%;Red Hot Chili Peppers;81;Alternative Rock;Otherside;08/06/99;1;0;4;0%;Alternative
94%;914;62%;Rock;88%;Red Hot Chili Peppers;81;Alternative Rock;Can't Stop;09/07/02;1;9;4;2%;Alternative
80%;158;46%;Rock;61%;The Rolling Stones;81;Rock Classics;Paint It, Black;15/04/66;1;1;3;5%;Classic
83%;139;51%;Rock;77%;Bryan Adams;80;80s Rock Anthems;Summer Of '69;05/11/84;1;2;4;2%;80S
51%;119;58%;Rock;59%;Dominic Fike;80;Feel Good Indie Rock;misses;03/05/24;1;2;12;13%;Feel-Good
66%;104;28%;Rock;53%;Franz Ferdinand;80;Alternative Rock;Take Me Out;16/02/04;0;4;4;0%;Alternative
94%;850;44%;Rock;78%;Green Day;80;Rock Classics;Basket Case;01/02/94;1;3;3;0%;Classic
84%;113;74%;Rock;82%;The Clash;80;Rock Classics;Should I Stay or Should I Go - Remastered;04/06/05;1;2;3;8%;Classic
84%;113;74%;Rock;82%;The Clash;80;80s Rock Anthems;Should I Stay or Should I Go - Remastered;04/06/05;1;2;3;8%;80S
71%;749;65%;Rock;57%;Twenty One Pilots;80;Alternative Rock;Ride;15/05/15;1;6;4;1%;Alternative
50%;124;53%;Rock;31%;Billy Joel;79;Rock Classics;Vienna;30/05/05;1;10;4;66%;Classic
53%;136;60%;Rock;34%;Elton John;79;Rock Classics;Rocket Man (I Think It's Going To Be A Long, Long Time);19/05/72;1;10;5;43%;Classic
49%;114;73%;Rock;73%;Fleetwood Mac;79;Rock Classics;Everywhere - 2017 Remaster;13/04/87;1;4;4;26%;Classic
43%;946;48%;Rock;65%;Green Day;79;Rock Classics;Good Riddance (Time of Your Life);14/10/97;1;7;3;18%;Classic
62%;117;74%;Rock;93%;Hozier;79;Feel Good Indie Rock;Too Sweet;22/03/24;1;10;4;3%;Feel-Good
62%;117;74%;Rock;93%;Hozier;79;Alternative Rock;Too Sweet;22/03/24;1;10;4;3%;Alternative
32%;935;48%;Rock;39%;Kansas;79;Rock Classics;Dust in the Wind;30/05/05;1;7;3;37%;Classic
95%;919;51%;Rock;32%;Linkin Park;79;Rock This;Two Faced;15/11/24;1;1;3;0%;Modern
87%;184;47%;Rock;81%;Linkin Park;79;Rock This;The Emptiness Machine;15/11/24;1;7;3;2%;Modern
64%;203;26%;Rock;38%;Nirvana;79;Rock Classics;Heart-Shaped Box;21/09/93;1;1;5;20%;Classic
71%;113;67%;Rock;46%;Queen, David Bowie;79;80s Rock Anthems;Under Pressure - Remastered 2011;03/05/82;1;2;4;43%;80S
92%;171;36%;Rock;52%;The Verve;79;Rock Classics;Bitter Sweet Symphony - Remastered 2016;29/09/97;1;9;6;3%;Classic
79%;129;67%;Rock;92%;Blur;78;Rock Classics;Song 2 - 2012 Remaster;10/02/97;1;8;2;0%;Classic
59%;120;57%;Rock;43%;d4vd;78;Feel Good Indie Rock;Feel It - From The Original Series ‚ÄúInvincible‚Äù;28/03/24;1;8;3;3%;Feel-Good
94%;172;59%;Rock;39%;Hombres G;78;Spanish Rock Classics;Devu√©lveme a mi chica;07/06/05;0;9;3;2%;Spanish
64%;103;63%;Rock;47%;juju<3;78;Feel Good Indie Rock;Wasted Summers;12/07/23;1;0;2;11%;Feel-Good
61%;977;60%;Rock;89%;Lynyrd Skynyrd;78;Southern Rock;Sweet Home Alabama;15/04/74;1;7;5;18%;Southern
92%;120;67%;Rock;78%;Muse;78;Alternative Rock;Supermassive Black Hole;19/06/06;1;7;4;5%;Alternative
83%;887;47%;Rock;66%;Rage Against The Machine;78;Rock Classics;Killing In The Name;14/06/05;1;7;5;3%;Classic
57%;107;61%;Rock;52%;Audioslave;77;Alternative Rock;Like a Stone;17/11/02;0;7;5;1%;Alternative
59%;170;33%;Rock;31%;Camila;77;Spanish Rock Classics;Mientes;09/02/10;1;1;3;8%;Spanish
52%;151;82%;Rock;88%;Dominic Fike;77;Feel Good Indie Rock;3 Nights;16/10/18;0;7;3;22%;Feel-Good
72%;943;54%;Rock;90%;Joan Jett & the Blackhearts;77;Rock Classics;I Love Rock 'N Roll;18/11/81;1;4;3;33%;Classic
72%;943;54%;Rock;90%;Joan Jett & the Blackhearts;77;80s Rock Anthems;I Love Rock 'N Roll;18/11/81;1;4;3;33%;80S
76%;129;70%;Rock;86%;Juanes;77;Spanish Rock Classics;Es Por Ti;01/01/02;1;4;4;17%;Spanish
74%;123;71%;Rock;68%;Los Enanitos Verdes;77;Spanish Rock Classics;Lamento Boliviano;01/01/94;0;4;4;18%;Spanish
94%;105;39%;Rock;27%;Pearl Jam;77;Rock Classics;Even Flow;27/08/91;0;10;5;0%;Classic
94%;105;39%;Rock;27%;Pearl Jam;77;Alternative Rock;Even Flow;27/08/91;0;10;5;0%;Alternative
90%;104;43%;Rock;60%;Red Hot Chili Peppers;77;Alternative Rock;Snow (Hey Oh);09/05/06;1;11;6;12%;Alternative
91%;961;56%;Rock;73%;Red Hot Chili Peppers;77;Alternative Rock;Dani California;09/05/06;1;0;5;2%;Alternative
75%;134;62%;Rock;66%;The Police;77;Rock Classics;Roxanne;02/11/78;1;0;3;4%;Classic
79%;126;77%;Rock;96%;The Smashing Pumpkins;77;Rock Classics;1979 - Remastered 2012;17/06/05;1;3;4;2%;Classic
85%;103;61%;Rock;75%;The Smiths;77;Feel Good Indie Rock;This Charming Man - 2011 Remaster;20/02/84;1;11;3;1%;Feel-Good
75%;164;59%;Rock;65%;The Strokes;77;Feel Good Indie Rock;The Adults Are Talking;10/04/20;1;5;5;1%;Feel-Good
83%;112;65%;Rock;79%;Arctic Monkeys;76;Feel Good Indie Rock;Fluorescent Adolescent;22/04/07;0;1;3;0%;Feel-Good
52%;988;65%;Rock;82%;Buffalo Springfield;76;Rock Classics;For What It's Worth;05/12/66;1;2;3;41%;Classic
85%;156;64%;Rock;92%;Cage The Elephant;76;Alternative Rock;Ain't No Rest for the Wicked;24/03/09;1;0;3;4%;Alternative
45%;100;49%;Rock;55%;David Bowie;76;Rock Classics;Starman - 2012 Remaster;06/06/72;1;5;4;17%;Classic
34%;177;39%;Rock;48%;Electric Light Orchestra;76;Rock Classics;Mr. Blue Sky;30/05/05;1;10;5;65%;Classic
72%;137;28%;Rock;17%;Kings of Leon;76;Alternative Rock;Use Somebody;23/09/08;1;0;4;1%;Alternative
97%;110;59%;Rock;59%;Linkin Park;76;Alternative Rock;BURN IT DOWN;19/06/12;0;9;4;1%;Alternative
82%;120;50%;Rock;54%;Nirvana;76;Rock Classics;Come As You Are;26/09/91;0;4;4;0%;Classic
91%;116;50%;Rock;72%;Nirvana;76;Rock Classics;Smells Like Teen Spirit;26/09/91;1;1;5;0%;Classic
24%;189;45%;Rock;30%;Phil Collins;76;Rock Classics;In The Air Tonight - 2015 Remastered;01/01/81;1;0;6;55%;Classic
44%;813;52%;Rock;25%;Pixies;76;Rock Classics;Where Is My Mind? - 2007 Remaster;21/03/88;1;4;4;2%;Classic
92%;168;60%;Rock;61%;Royel Otis;76;Feel Good Indie Rock;Oysters In My Pocket;10/03/22;0;6;3;2%;Feel-Good
83%;105;35%;Rock;15%;Soundgarden;76;Rock Classics;Black Hole Sun;09/03/94;1;6;5;0%;Classic
52%;123;72%;Rock;94%;Talking Heads;76;Rock Classics;Psycho Killer - 2005 Remaster;16/09/77;1;2;4;7%;Classic
86%;136;72%;Rock;93%;The Rolling Stones;76;Rock Classics;(I Can't Get No) Satisfaction - Mono Version;30/07/65;1;2;4;4%;Classic
93%;122;63%;Rock;97%;The Rolling Stones;76;80s Rock Anthems;Start Me Up - Remastered 2009;24/08/81;1;5;4;4%;80S
93%;141;33%;Rock;39%;Bluester Cult;75;Rock Classics;(Don't Fear) The Reaper;29/05/05;0;9;5;0%;Classic
52%;173;45%;Rock;36%;Camila;75;Spanish Rock Classics;Todo Cambi√≥;28/06/05;1;5;3;56%;Spanish
59%;124;46%;Rock;25%;Guns N' Roses;75;Rock Classics;Don't Cry (Original);17/09/91;1;11;5;0%;Classic
93%;112;56%;Rock;62%;Led Zeppelin;75;Rock Classics;Immigrant Song - Remaster;23/05/05;1;11;2;1%;Classic
83%;118;25%;Rock;34%;Lynyrd Skynyrd;75;Southern Rock;Free Bird;01/01/73;1;0;9;7%;Southern
91%;128;60%;Rock;41%;Muse;75;Rock Classics;Uprising;10/09/09;1;2;5;0%;Classic
91%;128;60%;Rock;41%;Muse;75;Alternative Rock;Uprising;10/09/09;1;2;5;0%;Alternative
26%;122;48%;Rock;38%;Pink Floyd;75;Rock Classics;Wish You Were Here;12/09/75;1;7;6;74%;Classic
38%;164;53%;Rock;19%;The Beatles;75;Rock Classics;Come Together - Remastered 2009;26/09/69;0;9;4;3%;Classic
81%;151;58%;Rock;87%;The Police;75;Rock Classics;Message In A Bottle;02/10/79;0;1;5;3%;Classic
45%;843;62%;Rock;57%;Tom Petty;75;Rock Classics;Free Fallin';01/01/89;1;5;4;21%;Classic
45%;843;62%;Rock;57%;Tom Petty;75;80s Rock Anthems;Free Fallin';01/01/89;1;5;4;21%;80S
84%;129;57%;Rock;80%;Van Halen;75;80s Rock Anthems;Jump - 2015 Remaster;04/01/84;1;0;4;17%;80S
94%;119;50%;Rock;12%;Yeah Yeah Yeahs;75;Alternative Rock;Maps;29/04/03;1;7;4;0%;Alternative
73%;149;58%;Rock;45%;Cafie Tacvba;74;Spanish Rock Classics;Eres;01/07/03;0;9;4;1%;Spanish
59%;144;42%;Rock;19%;Coldplay;74;Alternative Rock;In My Place;27/08/02;1;9;4;6%;Alternative
59%;109;78%;Rock;52%;Daft Punk, Julian Casablancas;74;Indie Rock Roadtrip;Instant Crush (feat. Julian Casablancas);20/05/13;0;10;6;4%;Indie
48%;138;53%;Rock;49%;Don McLean;74;Rock Classics;American Pie;24/05/05;0;4;9;70%;Classic
84%;117;53%;Rock;19%;Europe;74;80s Rock Anthems;The Final Countdown;08/06/05;0;6;5;6%;80S
94%;106;64%;Rock;86%;Finger Eleven;74;Alternative Rock;Paralyzer;01/01/07;0;11;3;16%;Alternative
74%;159;27%;Rock;42%;Green Day;74;Alternative Rock;21 Guns;15/05/09;1;5;5;5%;Alternative
69%;137;55%;Rock;67%;Heart;74;Rock Classics;Barracuda;14/05/77;0;4;4;2%;Classic
87%;100;58%;Rock;59%;Linkin Park;74;Alternative Rock;Breaking the Habit;16/09/03;0;4;3;11%;Alternative
91%;108;62%;Rock;69%;Linkin Park;74;Alternative Rock;CASTLE OF GLASS;19/06/12;0;1;3;7%;Alternative
32%;104;58%;Rock;39%;Lou Reed;74;Rock Classics;Walk On the Wild Side;01/12/72;1;0;4;68%;Classic
85%;148;63%;Rock;56%;Mani°;74;Spanish Rock Classics;Clavado en Un Bar;19/06/05;1;11;5;1%;Spanish
80%;169;29%;Rock;33%;My Chemical Romance;74;Alternative Rock;I Don't Love You;23/10/06;1;0;4;1%;Alternative
90%;113;62%;Rock;74%;New Radicals;74;Feel Good Indie Rock;You Get What You Give;01/01/98;1;2;5;17%;Feel-Good
90%;113;62%;Rock;74%;New Radicals;74;Alternative Rock;You Get What You Give;01/01/98;1;2;5;17%;Alternative
39%;104;69%;Rock;72%;Pink Floyd;74;Rock Classics;Another Brick in the Wall, Pt. 2;30/11/79;1;0;4;8%;Classic
97%;122;45%;Rock;20%;Red Hot Chili Peppers;74;Alternative Rock;By the Way;09/07/02;1;0;4;3%;Alternative
51%;119;90%;Rock;73%;Rex Orange County;74;Feel Good Indie Rock;THE SHADE;11/03/22;1;5;3;39%;Feel-Good
87%;106;39%;Rock;30%;AC/DC;73;80s Rock Anthems;Hells Bells;25/07/80;0;4;5;1%;80S
84%;143;57%;Rock;47%;Beach Weather;73;Alternative Rock;Sex, Drugs, Etc.;04/11/16;0;4;3;1%;Alternative
57%;131;64%;Rock;66%;Big Thief;73;Feel Good Indie Rock;Vampire Empire;19/07/23;1;9;3;29%;Feel-Good
48%;148;39%;Rock;57%;Blind Melon;73;Rock Classics;No Rain;01/01/92;1;9;4;62%;Classic
55%;126;49%;Rock;70%;Caifanes;73;Spanish Rock Classics;Afuera;16/06/05;0;6;5;21%;Spanish
55%;176;52%;Rock;91%;Don Henley;73;Rock Classics;The Boys Of Summer;19/11/84;1;6;5;50%;Classic
55%;176;52%;Rock;91%;Don Henley;73;80s Rock Anthems;The Boys Of Summer;19/11/84;1;6;5;50%;80S
92%;135;47%;Rock;54%;Foo Fighters;73;Rock Classics;Learn to Fly;02/11/99;1;4;4;0%;Classic
79%;126;48%;Rock;79%;Kansas;73;Rock Classics;Carry on Wayward Son;29/05/05;1;7;5;0%;Classic
84%;940;52%;Rock;42%;Keane;73;Alternative Rock;Everybody's Changing;10/05/04;1;0;4;0%;Alternative
87%;159;59%;Rock;74%;Lenny Kravitz;73;Rock Classics;Fly Away;12/05/98;1;7;4;2%;Classic
75%;120;42%;Rock;40%;Lynyrd Skynyrd;73;Southern Rock;Simple Man;01/01/73;1;6;6;4%;Southern
94%;100;44%;Rock;42%;MGMT;73;Indie Rock Roadtrip;Time to Pretend;14/12/07;1;2;4;0%;Indie
94%;100;44%;Rock;42%;MGMT;73;Feel Good Indie Rock;Time to Pretend;14/12/07;1;2;4;0%;Feel-Good
88%;750;28%;Rock;60%;Pearl Jam;73;Rock Classics;Alive;27/08/91;0;11;6;1%;Classic
68%;771;36%;Rock;20%;Pearl Jam;73;Alternative Rock;Black;27/08/91;0;4;6;32%;Alternative
60%;102;66%;Rock;53%;The American Dawn;73;Feel Good Indie Rock;Her;26/07/24;0;3;4;1%;Feel-Good
94%;151;44%;Rock;48%;The Cure;73;Alternative Rock;Just Like Heaven;01/01/87;1;9;4;5%;Alternative
77%;819;56%;Rock;43%;The Police;73;80s Rock Anthems;Every Little Thing She Does Is Magic;02/10/81;1;2;4;12%;80S
72%;121;40%;Rock;48%;The Smashing Pumpkins;73;Rock Classics;Bullet With Butterfly Wings - Remastered 2012;17/06/05;0;10;4;0%;Classic
48%;114;77%;Rock;97%;Tom Petty;73;80s Rock Anthems;I Won't Back Down;01/01/89;1;7;3;5%;80S
84%;100;30%;Rock;59%;Alice In Chains;72;Rock Classics;Would? (2022 Remaster);29/09/92;1;6;3;0%;Classic
84%;100;30%;Rock;59%;Alice In Chains;72;Alternative Rock;Would? (2022 Remaster);29/09/92;1;6;3;0%;Alternative
90%;152;48%;Rock;60%;Bon Jovi;72;Rock Classics;Runaway;23/01/84;0;9;4;0%;Classic
80%;150;25%;Rock;26%;Bon Jovi;72;80s Rock Anthems;Wanted Dead Or Alive;16/08/86;1;7;5;13%;80S
90%;152;48%;Rock;60%;Bon Jovi;72;80s Rock Anthems;Runaway;23/01/84;0;9;4;0%;80S
80%;126;50%;Rock;31%;boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus;72;Feel Good Indie Rock;Not Strong Enough;31/03/23;1;1;4;0%;Feel-Good
95%;122;40%;Rock;58%;Bruce Springsteen;72;Rock Classics;Born in the U.S.A.;04/06/84;1;4;5;0%;Classic
95%;122;40%;Rock;58%;Bruce Springsteen;72;80s Rock Anthems;Born in the U.S.A.;04/06/84;1;4;5;0%;80S
48%;123;43%;Rock;28%;Caifanes;72;Spanish Rock Classics;La Celula Que Explota;19/06/90;1;2;4;44%;Spanish
76%;112;49%;Rock;44%;David Bowie;72;Rock Classics;Heroes - 2017 Remaster;30/05/05;1;7;6;0%;Classic
76%;112;49%;Rock;44%;David Bowie;72;80s Rock Anthems;Heroes - 2017 Remaster;30/05/05;1;7;6;0%;80S
95%;849;27%;Rock;57%;Def Leppard;72;Rock Classics;Pour Some Sugar On Me - Remastered 2017;03/08/87;0;1;4;0%;Classic
95%;849;27%;Rock;57%;Def Leppard;72;80s Rock Anthems;Pour Some Sugar On Me - Remastered 2017;03/08/87;0;1;4;0%;80S
96%;105;61%;Rock;60%;Jet;72;Indie Rock Roadtrip;Are You Gonna Be My Girl;25/06/05;1;2;4;0%;Indie
81%;113;44%;Rock;56%;Jimi Hendrix;72;Rock Classics;All Along the Watchtower;25/10/68;1;8;4;0%;Classic
80%;119;49%;Rock;47%;Journey;72;80s Rock Anthems;Don't Stop Believin';16/10/01;1;4;4;25%;80S
73%;970;75%;Rock;97%;Juanes;72;Spanish Rock Classics;La Camisa Negra;01/01/04;0;6;4;8%;Spanish
84%;970;67%;Rock;94%;Juanes;72;Spanish Rock Classics;A Dios Le Pido;01/01/02;1;7;3;7%;Spanish
90%;897;41%;Rock;42%;Led Zeppelin;72;Rock Classics;Whole Lotta Love - 1990 Remaster;22/10/69;1;9;6;5%;Classic
44%;812;51%;Rock;24%;Pixies;72;Alternative Rock;Where Is My Mind?;06/10/97;1;4;4;1%;Alternative
94%;915;67%;Rock;78%;Red Hot Chili Peppers;72;Rock Classics;Give It Away;24/09/91;1;7;5;0%;Classic
93%;170;22%;Rock;49%;Stone Temple Pilots;72;Rock Classics;Interstate Love Song - 2019 Remaster;07/06/94;1;9;3;0%;Classic
75%;898;42%;Rock;79%;The Doors;72;Rock Classics;Break on Through (To the Other Side);04/01/67;1;9;2;20%;Classic
98%;141;53%;Rock;45%;Van Halen;72;Rock Classics;Panama - 2015 Remaster;04/01/84;1;8;4;0%;Classic
98%;141;53%;Rock;45%;Van Halen;72;80s Rock Anthems;Panama - 2015 Remaster;04/01/84;1;8;4;0%;80S
68%;209;63%;Rock;73%;Bakar;71;Feel Good Indie Rock;Hell N Back;15/08/19;0;10;4;31%;Feel-Good
