Energy;Tempo en  BPM;Danceability;Playlist_genre2;Valence;Track_artist;Track_popularity;Playlist_name;Track_name;Track_album_release_date;Mode;Key;Duration_minutes;Acousticness;Playlist_subgenre2
82%;100;78%;Pop;76%;Shakira, Wyclef Jean;84;Throwback Party;Hips Don't Lie (feat. Wyclef Jean);28/11/05;0;10;4;28%;Throwback
54%;685;36%;Pop;45%;Taylor Swift;84;Soft Pop Hits;Lover;23/08/19;1;7;4;49%;Soft
39%;192;50%;Pop;28%;Taylor Swift, Post Malone;84;Today's Top Hits;Fortnight (feat. Post Malone);18/04/24;1;11;4;50%;Mainstream
34%;979;71%;Pop;46%;The Marias;84;Today's Top Hits;No One Noticed;31/05/24;1;7;4;55%;Mainstream
79%;105;89%;Pop;58%;USHER, Lil Jon, Ludacris;84;Throwback Party;Yeah! (feat. Lil Jon & Ludacris);23/03/04;1;2;4;2%;Throwback
78%;124;53%;Pop;64%;Avicii;83;Throwback Party;Wake Me Up;01/01/13;1;2;4;0%;Throwback
89%;122;53%;Pop;79%;Bon Jovi;83;Throwback Party;Livin' On A Prayer;16/08/86;1;0;4;8%;Throwback
47%;670;60%;Pop;88%;Brenda Lee;83;Global Top 50;Rockin' Around The Christmas Tree;19/10/64;1;8;2;62%;Global
84%;143;77%;Pop;92%;Britney Spears;83;Throwback Party;Toxic;13/11/03;0;5;3;2%;Throwback
43%;102;36%;Pop;27%;Conan Gray;83;Soft Pop Hits;Heather;20/03/20;1;5;3;58%;Soft
71%;125;69%;Pop;88%;Eurythmics, Annie Lennox, Dave Stewart;83;Throwback Party;Sweet Dreams (Are Made of This) - 2005 Remaster;04/01/83;0;0;4;23%;Throwback
26%;119;42%;Pop;33%;John Legend;83;Soft Pop Hits;All of Me;30/08/13;1;8;4;92%;Soft
74%;153;60%;Pop;44%;Justin Bieber;83;Soft Pop Hits;Ghost;19/03/21;1;2;3;19%;Soft
76%;999;66%;Pop;41%;Justin Bieber;83;Throwback Party;Sorry;13/11/15;0;0;3;8%;Throwback
84%;120;76%;Pop;71%;Kesha;83;Throwback Party;TiK ToK;01/01/10;0;2;3;10%;Throwback
71%;120;74%;Pop;88%;Maroon 5;83;Soft Pop Hits;Maps;02/09/14;0;1;3;2%;Soft
55%;950;78%;Pop;44%;P!nk, Nate Ruess;83;Soft Pop Hits;Just Give Me a Reason (feat. Nate Ruess);18/09/12;1;2;4;34%;Soft
76%;120;70%;Pop;55%;Post Malone;83;Soft Pop Hits;Circles;06/09/19;1;0;4;19%;Soft
87%;128;58%;Pop;62%;WALK THE MOON;83;Throwback Party;Shut Up and Dance;02/12/14;1;1;3;1%;Throwback
87%;100;54%;Pop;75%;ABBA;82;Throwback Party;Dancing Queen;29/05/05;1;9;4;36%;Throwback
62%;191;53%;Pop;59%;Ariana Grande;82;Global Top 50;Santa Tell Me;24/11/14;1;7;3;5%;Global
84%;125;53%;Pop;65%;Avicii;82;Throwback Party;The Nights;01/01/14;1;6;3;2%;Throwback
82%;128;65%;Pop;42%;Calvin Harris, Ellie Goulding;82;Throwback Party;Outside (feat. Ellie Goulding);31/10/14;0;2;4;21%;Throwback
56%;138;53%;Pop;16%;Chezile;82;Bedroom Pop;Beanie;28/11/23;1;5;2;41%;Bedroom
42%;138;21%;Pop;12%;Coldplay;82;Soft Pop Hits;Fix You;07/06/05;1;3;5;16%;Soft
79%;109;73%;Pop;67%;LISA;82;Today's Top Hits;Moonlit Floor (Kiss Me);08/10/24;0;5;3;13%;Mainstream
60%;979;71%;Pop;67%;Luke Combs;82;Soft Pop Hits;Fast Car;24/03/23;1;8;4;19%;Soft
